id,parent_category_id,code,name,name_translation_id,description,description_translation_id,comment,comment_translation_id
1,,religious,Θρησκευτικό,2,,1,,1
2,1,religious.feast,Γιορτές,3,,1,,1
3,2,religious.feasts.of_the_lord,Δεσποτικές γιορτές,4,,1,,1
4,2,religious.feasts.of_the_theotokos,Θεομητορικές γιορτές,5,,1,,1
5,2,religious.feasts.forerunner,Γιορτές του Προδρόμου,6,,1,,1
6,2,religious.feasts.saints,Γιορτές Αγίων,7,,1,,1
7,1,religious.seasons,Περιόδοι,8,,1,,1
8,7,religious.seasons.easter_cycle,Κύκλος του Πάσχα,9,,1,,1
9,8,religious.seasons.triodion,Τριώδιον,10,,1,,1
10,8,religious.seasons.pentecostarion,Πεντηκοστάριο,11,,1,,1
11,9,religious.seasons.triodion_partone,Περίοδος Τριωδίου πριν την Μεγάλη Τεσσαρακοστή,12,Τρείς εβδομάδες των Απόκρεω,1,,1
12,9,religious.seasons.triodion_greatlent,Μεγάλη Τεσσαρακοστή,13,Από Καθαρά Δευτέρα μέχρι Παρασκευή πριν την Κυριακή των Βαίων,1,,1
13,9,religious.seasons.triodion_holyweek,Μεγάλη εβδομάδα,14,,1,,1
14,7,religious.seasons.christmastide,Δωδεκαήμερο,15,,1,,1
15,1,religious.fasts,Νηστείες,16,,1,,1
16,13,religious.fasts.fixed,Σταθερές νηστείες,17,,1,,1
17,13,religious.fasts.major,Κινητές νηστείες,18,,1,,1
18,13,religious.fasts.weekly,Εβδομαδιαίες νηστείες,19,,1,,1
19,1,religious.memorial,Μνημόσυνα,20,,1,,1
20,,astronomical,Αστρονομικά,21,,1,,1
21,18,astronomical.moon,Σεληνιακά,22,,1,,1
22,18,astronomical.sun,Ηλιακά,23,,1,,1
23,,national,Εθνικά,24,,1,,1
24,,general,Γενικά,28,,1,,1